,Region,Categoria,Marca,Segmento,Quincena,MES,AÑO,VSIGV
47,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,1,5,2019,2496210.852
48,CENTRO-ORIENTE,01 Higiénicos Masivos,001 Elite,10 Masivos,1,10,2020,3215333.8979
49,SUR,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,1,2,2020,88292.1244
50,LIMA,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,2,3,2018,841305.518
51,NORTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,2,6,2019,1170647.6745
52,CENTRO-ORIENTE,01 Higiénicos Masivos,003 Noble,10 Masivos,1,3,2018,2159352.0999
53,CENTRO-ORIENTE,01 Higiénicos Masivos,001 Elite,10 Masivos,1,6,2018,3043683.0631
54,LIMA,03 Servilletas Masivos,001 Elite,10 Masivos,2,12,2018,2651316.6658
55,SUR,04 Pañuelos Masivos,001 Elite,10 Masivos,1,6,2018,25859.404
56,LIMA,01 Higiénicos Masivos,003 Noble,10 Masivos,2,5,2018,7907398.8146
57,LIMA,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,2,6,2020,13173205.7016
58,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,2,12,2018,5585.2062
59,CENTRO-ORIENTE,01 Mascarilla ,001 Elite,30 Productos Sanitarios,1,11,2020,6532.6912
60,LIMA,02 Rollos de Cocina,001 Elite,10 Masivos,2,4,2020,4693234.6341
61,LIMA,02 Rollos de Cocina,001 Elite,10 Masivos,2,12,2018,2063257.3059
62,LIMA,03 Servilletas Masivos,006 Nova,10 Masivos,1,12,2018,47594.8081
63,NORTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,1,6,2018,329574.1178
64,LIMA,04 Pañuelos Masivos,001 Elite,10 Masivos,2,1,2020,117257.5051
65,NORTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,1,2,2018,117400.3525
66,CENTRO-ORIENTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,2,7,2019,150710.6136
67,CENTRO-ORIENTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,1,9,2018,56337.255
68,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,1,9,2018,310438.4495
69,LIMA,04 Pañuelos Masivos,001 Elite,10 Masivos,1,6,2019,63174.5531
70,SUR,01 Higiénicos Masivos,012 Higienol,10 Masivos,1,5,2020,537443.2385
71,CENTRO-ORIENTE,01 Higiénicos Masivos,001 Elite,10 Masivos,2,5,2019,3962814.968
72,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,1,5,2019,364980.8459
73,LIMA,03 Servilletas Masivos,006 Nova,10 Masivos,2,2,2021,105504.3995
74,SUR,01 Higiénicos Masivos,012 Higienol,10 Masivos,1,1,2021,537298.2922
75,LIMA,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,2,11,2020,16499323.8955
76,CENTRO-ORIENTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,1,1,2021,304039.8107
77,NORTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,1,2,2019,947533.036
78,CENTRO-ORIENTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,1,5,2019,106681.9821
79,LIMA,02 Rollos de Cocina,001 Elite,10 Masivos,2,8,2019,3494917.3956
80,LIMA,01 Mascarilla ,001 Elite,30 Productos Sanitarios,2,11,2020,3576.0683
81,LIMA,04 Pañuelos Masivos,001 Elite,10 Masivos,2,5,2019,87022.6585
82,CENTRO-ORIENTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,1,5,2020,313614.8816
83,CENTRO-ORIENTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,2,3,2021,422853.3373
84,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,2,7,2019,499341.3283
85,NORTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,2,5,2018,442054.2961
86,LIMA,03 Servilletas Masivos,006 Nova,10 Masivos,2,6,2020,87924.4852
87,CENTRO-ORIENTE,01 Higiénicos Masivos,001 Elite,10 Masivos,2,1,2020,4647017.7971
88,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,2,8,2020,16368.3625
89,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,2,12,2019,13985.7226
90,LIMA,02 Rollos de Cocina,001 Elite,10 Masivos,1,9,2019,3569818.8351
91,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,2,3,2020,176263.707
92,NORTE,01 Mascotas,038 Ok Pet,40 Mascotas,1,3,2021,848.5176
93,LIMA,02 Rollos de Cocina,001 Elite,10 Masivos,1,5,2020,3785375.1483
94,CENTRO-ORIENTE,01 Higiénicos Masivos,001 Elite,10 Masivos,1,4,2021,524377.3023
95,SUR,01 Higiénicos Masivos,012 Higienol,10 Masivos,1,9,2019,575588.572
96,SUR,03 Servilletas Masivos,006 Nova,10 Masivos,2,9,2020,6869.515
97,SUR,02 Rollos de Cocina,006 Nova,10 Masivos,2,7,2018,147126.8069
98,NORTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,2,1,2019,912944.4241
99,LIMA,03 Servilletas Masivos,006 Nova,10 Masivos,2,10,2019,50538.1745
100,CENTRO-ORIENTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,2,3,2020,132015.8363
101,CENTRO-ORIENTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,1,9,2019,297081.3009
102,LIMA,04 Pañuelos Masivos,001 Elite,10 Masivos,1,2,2020,103896.3477
103,SUR,01 Higiénicos Masivos,012 Higienol,10 Masivos,2,11,2019,643448.356
104,CENTRO-ORIENTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,1,4,2020,139978.6251
105,SUR,01 Higiénicos Masivos,012 Higienol,10 Masivos,2,3,2021,437994.3644
106,SUR,02 Rollos de Cocina,006 Nova,10 Masivos,2,3,2019,438566.8844
107,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,2,12,2020,10491.3078
108,LIMA,03 Servilletas Masivos,006 Nova,10 Masivos,1,4,2020,19235.9294
109,CENTRO-ORIENTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,2,12,2018,169419.7043
110,CENTRO-ORIENTE,01 Higiénicos Masivos,001 Elite,10 Masivos,2,6,2018,3115522.6371
111,SUR,02 Rollos de Cocina,006 Nova,10 Masivos,1,5,2018,109388.8461
112,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,2,12,2017,7961.05
113,CENTRO-ORIENTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,2,4,2020,375628.2102
114,SUR,01 Higiénicos Masivos,012 Higienol,10 Masivos,2,7,2020,639167.1575
115,CENTRO-ORIENTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,2,8,2019,372144.2741
116,LIMA,03 Servilletas Masivos,006 Nova,10 Masivos,1,8,2019,78173.0648
117,SUR,01 Higiénicos Masivos,012 Higienol,10 Masivos,2,3,2018,443760.7782
118,NORTE,01 Mascotas,038 Ok Pet,40 Mascotas,2,2,2021,1325.6188
119,CENTRO-ORIENTE,01 Mascotas,038 Ok Pet,40 Mascotas,1,8,2020,511.66
120,SUR,01 Higiénicos Masivos,001 Elite,10 Masivos,1,12,2020,4705951.8655
121,SUR,03 Servilletas Masivos,006 Nova,10 Masivos,2,12,2018,8272.0813
122,CENTRO-ORIENTE,03 Servilletas Masivos,003 Noble,10 Masivos,2,2,2020,379215.5517
123,NORTE,01 Higiénicos Masivos,003 Noble,10 Masivos,2,3,2020,15200856.6923
124,SUR,01 Higiénicos Masivos,001 Elite,10 Masivos,1,8,2018,4366267.6931
125,NORTE,01 Higiénicos Masivos,003 Noble,10 Masivos,2,11,2018,8813816.7439
126,SUR,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,2,10,2018,254770.591
127,LIMA,01 Higiénicos Masivos,001 Elite,10 Masivos,1,4,2019,10577724.4593
128,SUR,02 Rollos de Cocina,006 Nova,10 Masivos,1,3,2018,289116.2588
129,SUR,01 Higiénicos Masivos,012 Higienol,10 Masivos,2,2,2020,547896.2053
130,NORTE,01 Higiénicos Masivos,003 Noble,10 Masivos,1,9,2018,14470027.283
131,LIMA,01 Higiénicos Masivos,001 Elite,10 Masivos,1,8,2018,10901106.6007
132,SUR,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,1,2,2020,99621.6792
133,LIMA,02 Rollos de Cocina,001 Elite,10 Masivos,2,7,2018,1675113.6235
134,NORTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,2,9,2018,273608.8376
135,LIMA,02 Rollos de Cocina,001 Elite,10 Masivos,1,4,2019,1799947.1096
136,SUR,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,2,6,2019,400043.3887
137,LIMA,03 Servilletas Masivos,006 Nova,10 Masivos,1,2,2020,46093.2118
138,LIMA,01 Higiénicos Masivos,001 Elite,10 Masivos,2,5,2020,12252370.4116
139,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,1,4,2020,5749.8964
140,SUR,03 Servilletas Masivos,003 Noble,10 Masivos,1,10,2019,201193.6617
141,SUR,01 Higiénicos Masivos,001 Elite,10 Masivos,2,5,2020,7742329.327
142,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,2,11,2018,29772.2068
143,LIMA,03 Servilletas Masivos,003 Noble,10 Masivos,2,11,2020,40453.5048
144,CENTRO-ORIENTE,03 Servilletas Masivos,003 Noble,10 Masivos,2,6,2019,399800.782
145,SUR,03 Servilletas Masivos,006 Nova,10 Masivos,2,8,2019,5193.7841
146,SUR,03 Servilletas Masivos,006 Nova,10 Masivos,1,4,2018,5447.1708
147,NORTE,01 Higiénicos Masivos,003 Noble,10 Masivos,2,7,2019,13297220.4365
148,LIMA,02 Rollos de Cocina,001 Elite,10 Masivos,1,8,2018,2523367.4655
149,CENTRO-ORIENTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,2,2,2020,289969.9809
150,SUR,01 Higiénicos Masivos,012 Higienol,10 Masivos,1,4,2019,469658.3837
151,NORTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,2,5,2019,350193.6225
152,LIMA,01 Higiénicos Masivos,001 Elite,10 Masivos,2,1,2021,9705774.8541
153,LIMA,03 Servilletas Masivos,003 Noble,10 Masivos,2,7,2018,30147.9527
154,SUR,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,1,6,2019,67248.6619
155,CENTRO-ORIENTE,03 Servilletas Masivos,003 Noble,10 Masivos,1,3,2020,315285.5864
156,SUR,03 Servilletas Masivos,006 Nova,10 Masivos,1,12,2019,3876.4446
157,NORTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,2,9,2020,7721266.3768
158,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,2,10,2019,24096.8736
159,SUR,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,1,7,2019,311428.7853
160,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,1,12,2018,499365.0233
161,SUR,03 Servilletas Masivos,003 Noble,10 Masivos,2,9,2019,192603.035
162,SUR,03 Servilletas Masivos,006 Nova,10 Masivos,2,4,2020,2603.3148
163,LIMA,03 Servilletas Masivos,006 Nova,10 Masivos,2,1,2020,45595.0165
164,LIMA,03 Servilletas Masivos,006 Nova,10 Masivos,1,3,2019,35105.2316
165,NORTE,01 Higiénicos Masivos,003 Noble,10 Masivos,1,5,2019,9026638.5181
166,SUR,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,2,5,2020,458755.8694
167,NORTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,1,8,2019,7567236.7745
168,SUR,02 Rollos de Cocina,006 Nova,10 Masivos,2,2,2018,259691.6957
169,CENTRO-ORIENTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,1,4,2019,265860.4032
170,NORTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,1,8,2020,266312.6007
171,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,2,12,2020,1584553.9717
172,SUR,03 Servilletas Masivos,006 Nova,10 Masivos,1,4,2021,11781.0577
173,LIMA,01 Mascarilla ,001 Elite,30 Productos Sanitarios,2,2,2021,59613.5325
174,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,1,8,2019,573925.3329
175,LIMA,03 Servilletas Masivos,006 Nova,10 Masivos,2,5,2019,61651.4684
176,SUR,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,1,3,2020,309279.8324
177,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,2,2,2018,18820.2729
178,SUR,01 Higiénicos Masivos,001 Elite,10 Masivos,2,10,2018,8070603.6927
179,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,2,8,2018,819349.6356
180,CENTRO-ORIENTE,03 Servilletas Masivos,003 Noble,10 Masivos,1,11,2018,263564.3244
181,SUR,03 Servilletas Masivos,006 Nova,10 Masivos,1,8,2020,2944.941
182,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,2,10,2020,848893.933
183,LIMA,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,2,8,2019,11715098.1438
184,LIMA,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,1,7,2018,5508360.0167
185,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,1,1,2019,284690.5682
186,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,1,2,2021,1698601.9817
187,SUR,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,2,2,2018,29619.661
188,LIMA,01 Higiénicos Masivos,003 Noble,10 Masivos,1,3,2020,10484687.2524
189,SUR,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,2,4,2018,114644.6007
190,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,1,7,2018,16915.4739
191,CENTRO-ORIENTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,1,2,2021,192804.2736
192,SUR,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,1,1,2019,69500.0953
193,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,2,6,2018,13029.6352
194,SUR,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,1,6,2018,202637.0475
195,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,2,2,2019,11800.0183
196,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,2,9,2018,224101.2014
197,LIMA,01 Mascotas,038 Ok Pet,40 Mascotas,1,4,2021,119.5381
198,NORTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,2,3,2018,207946.5311
199,SUR,03 Servilletas Masivos,003 Noble,10 Masivos,2,10,2020,147605.2019
200,CENTRO-ORIENTE,01 Mascotas,038 Ok Pet,40 Mascotas,1,6,2020,876.3
201,CENTRO-ORIENTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,1,2,2018,89696.9594
202,LIMA,03 Servilletas Masivos,003 Noble,10 Masivos,2,4,2020,5678.5639
203,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,1,6,2019,256611.3614
204,LIMA,01 Mascarilla ,001 Elite,30 Productos Sanitarios,1,11,2020,806.754
205,NORTE,01 Mascotas,038 Ok Pet,40 Mascotas,2,11,2020,1840.0236
206,SUR,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,1,5,2018,85114.0527
207,LIMA,01 Higiénicos Masivos,003 Noble,10 Masivos,2,2,2020,8888946.9364
208,CENTRO-ORIENTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,2,5,2018,264768.6076
209,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,2,10,2020,3646673.9015
210,CENTRO-ORIENTE,01 Mascotas,038 Ok Pet,40 Mascotas,2,5,2020,156.01
211,LIMA,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,2,4,2020,14095358.682
212,LIMA,03 Servilletas Masivos,003 Noble,10 Masivos,1,7,2018,12938.9091
213,LIMA,03 Servilletas Masivos,003 Noble,10 Masivos,2,8,2019,20853.3025
214,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,1,10,2018,394555.9224
215,NORTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,1,2,2020,1291667.6681
216,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,1,11,2020,12335.4373
217,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,2,1,2018,2930867.2836
218,SUR,03 Servilletas Masivos,003 Noble,10 Masivos,2,6,2018,144869.6625
219,SUR,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,1,10,2020,372556.9947
220,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,1,2,2019,6989.444
221,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,1,5,2018,140110.362
222,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,1,11,2020,971124.6722
223,CENTRO-ORIENTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,1,3,2018,201988.0018
224,SUR,03 Servilletas Masivos,003 Noble,10 Masivos,1,12,2019,166868.8133
225,SUR,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,2,4,2019,308665.796
226,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,1,3,2018,11109.5892
227,LIMA,04 Pañuelos Masivos,001 Elite,10 Masivos,1,3,2018,55140.8328
228,LIMA,03 Servilletas Masivos,003 Noble,10 Masivos,1,3,2019,26421.8628
229,LIMA,02 Rollos de Cocina,001 Elite,10 Masivos,1,10,2020,2438148.954
230,LIMA,01 Mascotas,038 Ok Pet,40 Mascotas,2,3,2021,2040.3182
231,CENTRO-ORIENTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,2,1,2019,327957.7764
232,SUR,03 Servilletas Masivos,003 Noble,10 Masivos,1,4,2021,0.0
233,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,1,4,2021,1083.4788
234,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,2,1,2019,9506.5738
235,CENTRO-ORIENTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,1,7,2020,291833.4603
236,LIMA,01 Mascotas,038 Ok Pet,40 Mascotas,2,7,2020,2017.7974
237,LIMA,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,1,11,2020,12455641.7342
238,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,2,9,2020,108579.2063
239,LIMA,02 Rollos de Cocina,001 Elite,10 Masivos,2,10,2019,3986984.0601
240,LIMA,02 Rollos de Cocina,001 Elite,10 Masivos,1,2,2019,2093690.2232
241,SUR,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,2,1,2019,67517.1847
242,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,1,6,2020,1982507.4014
243,LIMA,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,2,1,2021,1052781.8369
244,NORTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,1,6,2020,276845.8451
245,NORTE,01 Higiénicos Masivos,003 Noble,10 Masivos,1,6,2020,12713531.6842
246,NORTE,01 Higiénicos Masivos,003 Noble,10 Masivos,1,2,2018,2287349.5735
247,CENTRO-ORIENTE,03 Servilletas Masivos,006 Nova,10 Masivos,1,4,2021,43847.0682
248,NORTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,2,5,2018,55229.3957
249,SUR,03 Servilletas Masivos,006 Nova,10 Masivos,2,1,2019,5135.5741
250,NORTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,1,10,2020,789525.746
251,LIMA,01 Higiénicos Masivos,001 Elite,10 Masivos,2,8,2018,11739871.2311
252,NORTE,03 Servilletas Masivos,003 Noble,10 Masivos,1,11,2020,291829.2104
253,CENTRO-ORIENTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,1,9,2019,2983466.0931
254,SUR,03 Servilletas Masivos,006 Nova,10 Masivos,1,5,2019,4755.1929
255,SUR,02 Rollos de Cocina,001 Elite,10 Masivos,1,10,2018,217072.3301
256,SUR,03 Servilletas Masivos,006 Nova,10 Masivos,1,1,2020,3570.9834
257,SUR,04 Pañuelos Masivos,001 Elite,10 Masivos,2,2,2019,17375.8001
258,SUR,04 Pañuelos Masivos,001 Elite,10 Masivos,1,5,2020,9088.8655
259,SUR,03 Servilletas Masivos,006 Nova,10 Masivos,2,5,2018,4598.5154
260,SUR,04 Pañuelos Masivos,001 Elite,10 Masivos,1,1,2021,11457.1253
261,SUR,01 Higiénicos Masivos,001 Elite,10 Masivos,2,12,2020,9189260.5219
262,NORTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,2,1,2019,147364.7705
263,NORTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,1,2,2021,240587.7435
264,NORTE,01 Higiénicos Masivos,003 Noble,10 Masivos,1,10,2019,9147024.3323
265,NORTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,1,10,2019,267755.6534
266,LIMA,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,2,5,2020,1273652.6653
267,NORTE,01 Higiénicos Masivos,003 Noble,10 Masivos,1,2,2021,7379988.9535
268,LIMA,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,2,1,2018,672435.8106
269,LIMA,03 Servilletas Masivos,006 Nova,10 Masivos,2,2,2018,20218.4469
270,CENTRO-ORIENTE,01 Higiénicos Masivos,001 Elite,10 Masivos,1,8,2020,3508547.9817
271,CENTRO-ORIENTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,2,6,2018,1829822.5688
272,NORTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,2,12,2018,6196776.5696
273,SUR,03 Servilletas Masivos,006 Nova,10 Masivos,1,9,2018,4454.926
274,LIMA,03 Servilletas Masivos,001 Elite,10 Masivos,2,11,2020,1595796.6127
275,SUR,01 Higiénicos Masivos,012 Higienol,10 Masivos,1,1,2018,150568.5474
276,LIMA,01 Higiénicos Masivos,001 Elite,10 Masivos,2,12,2020,9237610.3642
277,CENTRO-ORIENTE,01 Higiénicos Masivos,003 Noble,10 Masivos,1,1,2019,3234407.7898
278,SUR,03 Servilletas Masivos,001 Elite,10 Masivos,1,1,2018,116318.4574
279,LIMA,01 Higiénicos Masivos,001 Elite,10 Masivos,2,4,2019,9978205.1545
280,NORTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,2,9,2020,875765.5665
281,CENTRO-ORIENTE,03 Servilletas Masivos,006 Nova,10 Masivos,2,6,2018,12998.4312
