,Region,Categoria,Marca,Segmento,WEEK,YEAR,VSIGV
122,SUR,01 Higiénicos Masivos,012 Higienol,10 Masivos,31,2018,121130.4722
123,LIMA,02 Rollos de Cocina,006 Nova,10 Masivos,51,2018,1008129.0432
124,SUR,02 Rollos de Cocina,001 Elite,10 Masivos,40,2018,99224.3209
125,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,48,2018,163300.5943
126,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,12,2020,396119.9895
127,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,2,2018,14428.68
128,LIMA,02 Rollos de Cocina,006 Nova,10 Masivos,47,2019,1593106.1743
129,CENTRO-ORIENTE,01 Higiénicos Masivos,003 Noble,10 Masivos,29,2018,1250594.1006
130,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,16,2019,224000.4491
131,SUR,01 Higiénicos Masivos,012 Higienol,10 Masivos,27,2019,217491.1617
132,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,14,2018,2787.2822
133,CENTRO-ORIENTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,53,2019,239288.2616
134,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,6,2020,10288.6196
135,SUR,03 Servilletas Masivos,006 Nova,10 Masivos,36,2018,2519.7391
136,LIMA,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,51,2020,82815.8751
137,LIMA,01 Higiénicos Masivos,001 Elite,10 Masivos,42,2018,4788134.4416
138,LIMA,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,12,2020,2407868.3418
139,SUR,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,1,2021,4553.527
140,SUR,02 Rollos de Cocina,001 Elite,10 Masivos,44,2020,162006.803
141,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,6,2020,6309.6568
142,LIMA,01 Higiénicos Masivos,001 Elite,10 Masivos,46,2020,3322123.1219
143,NORTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,46,2018,3232907.9878
144,CENTRO-ORIENTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,6,2019,38998.7514
145,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,13,2020,987066.7458
146,LIMA,02 Rollos de Cocina,001 Elite,10 Masivos,11,2021,1035509.0033
147,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,49,2019,612680.4059
148,NORTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,44,2020,566143.5931
149,LIMA,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,19,2020,5490081.4917
150,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,49,2020,80439.6936
151,LIMA,01 Higiénicos Masivos,003 Noble,10 Masivos,46,2019,5550197.8624
152,NORTE,01 Higiénicos Masivos,003 Noble,10 Masivos,17,2019,5129600.2191
153,LIMA,03 Servilletas Masivos,006 Nova,10 Masivos,14,2020,9982.815
154,CENTRO-ORIENTE,01 Higiénicos Masivos,003 Noble,10 Masivos,26,2020,1422633.8047
155,SUR,01 Higiénicos Masivos,012 Higienol,10 Masivos,5,2021,293776.9354
156,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,17,2019,18180.2347
157,CENTRO-ORIENTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,42,2020,360794.7731
158,SUR,03 Servilletas Masivos,006 Nova,10 Masivos,10,2021,33935.0227
159,LIMA,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,15,2021,672545.0758
160,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,45,2020,617333.3749
161,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,10,2018,100280.3902
162,SUR,03 Servilletas Masivos,001 Elite,10 Masivos,31,2019,129348.7346
163,LIMA,03 Servilletas Masivos,001 Elite,10 Masivos,51,2018,1506340.5298
164,LIMA,01 Higiénicos Masivos,012 Higienol,10 Masivos,28,2020,517694.2877
165,CENTRO-ORIENTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,39,2018,27742.4622
166,LIMA,01 Mascarilla ,001 Elite,30 Productos Sanitarios,12,2021,5799.0457
167,SUR,02 Rollos de Cocina,001 Elite,10 Masivos,47,2018,127735.1686
168,SUR,04 Pañuelos Masivos,001 Elite,10 Masivos,44,2018,7225.4751
169,CENTRO-ORIENTE,03 Servilletas Masivos,003 Noble,10 Masivos,35,2019,200215.0742
170,LIMA,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,15,2018,2424868.5724
171,SUR,01 Higiénicos Masivos,001 Elite,10 Masivos,46,2018,2479046.6764
172,CENTRO-ORIENTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,50,2018,181765.3686
173,LIMA,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,44,2020,85729.1254
174,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,21,2018,1025847.7477
175,SUR,03 Servilletas Masivos,001 Elite,10 Masivos,35,2018,134563.658
176,CENTRO-ORIENTE,01 Higiénicos Masivos,003 Noble,10 Masivos,22,2018,1055680.2727
177,LIMA,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,51,2019,488968.7102
178,SUR,01 Higiénicos Masivos,001 Elite,10 Masivos,50,2020,2553512.8995
179,SUR,04 Pañuelos Masivos,001 Elite,10 Masivos,36,2020,7330.7076
180,SUR,02 Rollos de Cocina,006 Nova,10 Masivos,11,2019,241230.3905
181,NORTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,4,2021,362492.8048
182,CENTRO-ORIENTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,46,2019,469599.8153
183,NORTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,40,2018,228602.3327
184,SUR,01 Mascotas,038 Ok Pet,40 Mascotas,25,2020,647.0756
185,NORTE,01 Higiénicos Masivos,003 Noble,10 Masivos,13,2020,5911376.2424
186,CENTRO-ORIENTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,52,2020,1782822.137
187,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,45,2018,4295.0635
188,NORTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,36,2019,785130.5564
189,LIMA,03 Servilletas Masivos,001 Elite,10 Masivos,47,2019,2042116.65
190,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,41,2018,943373.6135
191,CENTRO-ORIENTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,2,2020,62015.6002
192,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,17,2019,1737521.3826
193,LIMA,03 Servilletas Masivos,003 Noble,10 Masivos,49,2018,11802.3898
194,LIMA,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,11,2019,3645869.1525
195,CENTRO-ORIENTE,03 Servilletas Masivos,006 Nova,10 Masivos,31,2020,2261.9729
196,CENTRO-ORIENTE,03 Servilletas Masivos,006 Nova,10 Masivos,27,2018,6508.5561
197,LIMA,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,47,2020,446406.7417
198,SUR,02 Rollos de Cocina,006 Nova,10 Masivos,3,2018,40341.5698
199,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,53,2019,633.47
200,SUR,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,50,2020,59826.4323
201,SUR,04 Pañuelos Masivos,001 Elite,10 Masivos,40,2019,17143.9686
202,CENTRO-ORIENTE,03 Servilletas Masivos,003 Noble,10 Masivos,31,2020,88068.7257
203,LIMA,01 Higiénicos Masivos,003 Noble,10 Masivos,38,2018,3453376.4778
204,LIMA,03 Servilletas Masivos,006 Nova,10 Masivos,10,2018,10653.0134
205,SUR,02 Rollos de Cocina,006 Nova,10 Masivos,7,2020,260972.6655
206,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,27,2018,176422.7766
207,CENTRO-ORIENTE,01 Higiénicos Masivos,003 Noble,10 Masivos,30,2019,1570349.3613
208,SUR,03 Servilletas Masivos,001 Elite,10 Masivos,27,2020,62490.1463
209,NORTE,01 Higiénicos Masivos,003 Noble,10 Masivos,21,2018,2048715.9865
210,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,10,2021,96760.0186
211,CENTRO-ORIENTE,01 Higiénicos Masivos,003 Noble,10 Masivos,31,2018,1223389.5565
212,CENTRO-ORIENTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,1,2019,613196.2317
213,CENTRO-ORIENTE,02 Rollos de Cocina,006 Nova,10 Masivos,49,2020,864021.7458
214,CENTRO-ORIENTE,01 Higiénicos Masivos,001 Elite,10 Masivos,5,2021,2408834.68
215,SUR,01 Mascarilla ,001 Elite,30 Productos Sanitarios,15,2021,3434.9833
216,SUR,02 Rollos de Cocina,001 Elite,10 Masivos,2,2021,204853.4103
217,SUR,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,43,2020,43255.3526
218,SUR,02 Rollos de Cocina,006 Nova,10 Masivos,26,2020,366043.1885
219,NORTE,01 Higiénicos Masivos,003 Noble,10 Masivos,40,2018,4451358.4269
220,SUR,03 Servilletas Masivos,001 Elite,10 Masivos,50,2019,138807.3101
221,CENTRO-ORIENTE,03 Servilletas Masivos,003 Noble,10 Masivos,46,2018,129765.9038
222,LIMA,03 Servilletas Masivos,001 Elite,10 Masivos,2,2019,1387104.2777
223,LIMA,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,2,2020,594499.3418
224,NORTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,51,2020,992340.0883
225,NORTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,42,2019,3608978.26
226,CENTRO-ORIENTE,01 Higiénicos Masivos,003 Noble,10 Masivos,7,2020,1315472.5276
227,CENTRO-ORIENTE,03 Servilletas Masivos,006 Nova,10 Masivos,12,2020,3937.9756
228,CENTRO-ORIENTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,31,2018,158096.0644
229,SUR,01 Higiénicos Masivos,001 Elite,10 Masivos,35,2019,3692771.3606
230,LIMA,02 Rollos de Cocina,001 Elite,10 Masivos,22,2020,3110422.8668
231,NORTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,44,2019,133194.4618
232,CENTRO-ORIENTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,20,2018,12195.8763
233,NORTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,40,2020,137805.1059
234,SUR,02 Rollos de Cocina,001 Elite,10 Masivos,6,2020,164199.7614
235,NORTE,01 Higiénicos Masivos,003 Noble,10 Masivos,36,2019,3517803.8083
236,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,2,2018,791271.4156
237,CENTRO-ORIENTE,03 Servilletas Masivos,003 Noble,10 Masivos,42,2019,183835.9535
238,LIMA,03 Servilletas Masivos,001 Elite,10 Masivos,10,2020,1894144.2775
239,SUR,03 Servilletas Masivos,001 Elite,10 Masivos,42,2018,99251.7304
240,CENTRO-ORIENTE,03 Servilletas Masivos,006 Nova,10 Masivos,16,2019,9803.4713
241,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,6,2021,123909.5652
242,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,28,2018,6004.1315
243,NORTE,02 Rollos de Cocina,006 Nova,10 Masivos,24,2018,129723.7589
244,NORTE,01 Higiénicos Masivos,001 Elite,10 Masivos,1,2021,68007.77
245,CENTRO-ORIENTE,01 Higiénicos Masivos,003 Noble,10 Masivos,3,2021,1910182.3048
246,LIMA,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,10,2018,247495.9895
247,CENTRO-ORIENTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,47,2020,67211.7349
248,SUR,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,35,2019,42718.4176
249,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,2,2021,1847430.3933
250,NORTE,01 Higiénicos Masivos,003 Noble,10 Masivos,32,2020,4039135.9169
251,LIMA,03 Servilletas Masivos,001 Elite,10 Masivos,6,2021,799312.7296
252,NORTE,01 Mascarilla ,001 Elite,30 Productos Sanitarios,11,2021,9565.78
253,SUR,02 Rollos de Cocina,006 Nova,10 Masivos,22,2018,55919.6972
254,LIMA,03 Servilletas Masivos,003 Noble,10 Masivos,30,2018,5265.727
255,SUR,01 Mascotas,038 Ok Pet,40 Mascotas,44,2020,2691.6444
256,CENTRO-ORIENTE,03 Servilletas Masivos,003 Noble,10 Masivos,50,2020,25287.2732
257,LIMA,04 Pañuelos Masivos,001 Elite,10 Masivos,12,2021,13573.0253
258,SUR,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,39,2018,15848.1817
259,NORTE,02 Rollos de Cocina,006 Nova,10 Masivos,16,2020,475024.0668
260,NORTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,15,2020,190697.7611
261,CENTRO-ORIENTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,51,2019,52015.0252
262,LIMA,01 Higiénicos Masivos,012 Higienol,10 Masivos,47,2020,486664.6578
263,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,32,2020,5186.2749
264,LIMA,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,4,2019,4806868.8136
265,CENTRO-ORIENTE,01 Higiénicos Masivos,003 Noble,10 Masivos,11,2019,1383561.6099
266,LIMA,03 Servilletas Masivos,001 Elite,10 Masivos,6,2018,593905.805
267,LIMA,03 Servilletas Masivos,006 Nova,10 Masivos,29,2018,14799.7545
268,LIMA,01 Higiénicos Masivos,003 Noble,10 Masivos,1,2019,3209210.2022
269,LIMA,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,10,2021,404589.3789
270,SUR,03 Servilletas Masivos,001 Elite,10 Masivos,46,2020,91832.4611
271,CENTRO-ORIENTE,03 Servilletas Masivos,003 Noble,10 Masivos,50,2017,3006.5
272,LIMA,03 Servilletas Masivos,003 Noble,10 Masivos,38,2019,6440.7377
273,SUR,01 Higiénicos Masivos,001 Elite,10 Masivos,31,2020,2882655.7041
274,SUR,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,4,2021,65194.9656
275,SUR,02 Rollos de Cocina,001 Elite,10 Masivos,2,2018,77065.5935
276,SUR,03 Servilletas Masivos,006 Nova,10 Masivos,25,2019,2763.8501
277,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,6,2020,1042619.2628
278,NORTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,48,2018,137286.6744
279,CENTRO-ORIENTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,35,2020,416726.1873
280,NORTE,02 Rollos de Cocina,006 Nova,10 Masivos,20,2019,266349.1661
281,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,4,2020,1624.9019
282,NORTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,11,2021,436392.4756
283,LIMA,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,6,2019,458069.8479
284,CENTRO-ORIENTE,03 Servilletas Masivos,006 Nova,10 Masivos,20,2018,4543.8494
285,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,38,2020,693795.238
286,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,1,2021,6569.7728
287,NORTE,03 Servilletas Masivos,001 Elite,10 Masivos,50,2018,927210.4943
288,SUR,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,44,2018,93610.0269
289,SUR,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,41,2020,60495.3237
290,NORTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,7,2020,99434.3024
291,LIMA,04 Pañuelos Masivos,001 Elite,10 Masivos,19,2018,25632.1875
292,CENTRO-ORIENTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,31,2018,135766.9623
293,CENTRO-ORIENTE,01 Mascarilla ,001 Elite,30 Productos Sanitarios,50,2020,2612.1897
294,LIMA,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,13,2019,538187.1475
