,Region,Categoria,Marca,Segmento,MONTH,YEAR,VSIGV
183,SUR,02 Rollos de Cocina,001 Elite,10 Masivos,10,2020,684119.8817
184,LIMA,01 Higiénicos Masivos,012 Higienol,10 Masivos,12,2019,5891452.5479
185,CENTRO-ORIENTE,01 Higiénicos Masivos,003 Noble,10 Masivos,2,2021,6918698.3477
186,CENTRO-ORIENTE,01 Higiénicos Masivos,003 Noble,10 Masivos,10,2019,6006236.8242
187,NORTE,01 Higiénicos Masivos,003 Noble,10 Masivos,4,2018,5664033.1702
188,SUR,02 Rollos de Cocina,001 Elite,10 Masivos,6,2018,240808.478
189,SUR,02 Rollos de Cocina,001 Elite,10 Masivos,2,2019,720569.2598
190,CENTRO-ORIENTE,01 Higiénicos Masivos,003 Noble,10 Masivos,2,2018,4758526.4574
191,LIMA,02 Rollos de Cocina,006 Nova,10 Masivos,9,2020,14623124.0177
192,NORTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,6,2018,7668891.9942
193,LIMA,01 Higiénicos Masivos,001 Elite,10 Masivos,4,2019,20555929.6138
194,LIMA,01 Higiénicos Masivos,001 Elite,10 Masivos,1,2020,27820826.6312
195,NORTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,1,2018,3490724.2427
196,SUR,01 Higiénicos Masivos,012 Higienol,10 Masivos,12,2018,788671.6195
197,SUR,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,12,2020,247734.7972
198,SUR,01 Higiénicos Masivos,012 Higienol,10 Masivos,8,2019,1002134.8527
199,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,3,2021,495243.6432
200,NORTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,5,2020,16228855.3633
201,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,11,2019,837916.3287
202,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,1,2018,453839.2069
203,CENTRO-ORIENTE,02 Rollos de Cocina,006 Nova,10 Masivos,2,2020,1066685.5303
204,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,1,2021,1638552.3612
205,CENTRO-ORIENTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,4,2020,1881713.9078
206,CENTRO-ORIENTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,12,2018,800452.212
207,CENTRO-ORIENTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,8,2019,2118469.0665
208,SUR,01 Mascarilla ,001 Elite,30 Productos Sanitarios,1,2021,10736.2302
209,LIMA,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,2,2021,578142.1145
210,NORTE,02 Rollos de Cocina,006 Nova,10 Masivos,12,2018,1071275.0698
211,CENTRO-ORIENTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,12,2017,4043.54
212,NORTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,1,2021,16851287.7062
213,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,7,2020,234670.1835
214,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,5,2020,3173704.0099
215,LIMA,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,6,2020,388663.803
216,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,3,2018,466657.4599
217,NORTE,03 Servilletas Masivos,001 Elite,10 Masivos,10,2019,4252088.0258
218,NORTE,01 Mascotas,038 Ok Pet,40 Mascotas,9,2020,8658.7194
219,SUR,01 Higiénicos Masivos,001 Elite,10 Masivos,3,2021,10152087.4861
220,NORTE,03 Servilletas Masivos,003 Noble,10 Masivos,1,2018,232458.4467
221,LIMA,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,7,2019,256211.135
222,SUR,02 Rollos de Cocina,006 Nova,10 Masivos,10,2018,438144.8618
223,CENTRO-ORIENTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,4,2019,130096.4126
224,CENTRO-ORIENTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,8,2018,80245.9407
225,NORTE,03 Servilletas Masivos,001 Elite,10 Masivos,9,2020,2000331.2773
226,NORTE,03 Servilletas Masivos,003 Noble,10 Masivos,1,2021,14669.0779
227,CENTRO-ORIENTE,02 Rollos de Cocina,006 Nova,10 Masivos,7,2018,421811.8995
228,LIMA,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,11,2018,146878.4666
229,LIMA,03 Servilletas Masivos,006 Nova,10 Masivos,12,2020,334709.5865
230,CENTRO-ORIENTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,12,2020,249700.4109
231,SUR,02 Rollos de Cocina,006 Nova,10 Masivos,6,2019,573008.0025
232,SUR,01 Higiénicos Masivos,001 Elite,10 Masivos,3,2018,9188849.3904
233,SUR,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,9,2020,242607.9309
234,NORTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,4,2018,6171198.3663
235,SUR,01 Higiénicos Masivos,012 Higienol,10 Masivos,9,2018,538468.9439
236,LIMA,01 Higiénicos Masivos,001 Elite,10 Masivos,2,2019,27672357.5004
237,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,6,2019,940276.8882
238,LIMA,01 Mascarilla ,001 Elite,30 Productos Sanitarios,1,2021,226607.7166
239,CENTRO-ORIENTE,02 Rollos de Cocina,006 Nova,10 Masivos,5,2020,1619570.2012
240,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,2,2019,576599.3826
241,SUR,03 Servilletas Masivos,001 Elite,10 Masivos,10,2020,322794.3389
242,CENTRO-ORIENTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,7,2020,1879460.3965
243,CENTRO-ORIENTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,11,2019,1973002.6479
244,NORTE,03 Servilletas Masivos,001 Elite,10 Masivos,11,2018,3646594.1701
245,CENTRO-ORIENTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,3,2018,379645.2804
246,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,10,2020,323148.1001
247,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,2,2020,1217889.3372
248,NORTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,4,2021,1119215.8358
249,CENTRO-ORIENTE,02 Rollos de Cocina,006 Nova,10 Masivos,1,2021,3134182.7674
250,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,6,2018,513364.4651
251,LIMA,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,3,2020,280123.3228
252,SUR,02 Rollos de Cocina,006 Nova,10 Masivos,11,2020,1360565.5572
253,SUR,01 Higiénicos Masivos,001 Elite,10 Masivos,4,2020,19920971.0153
254,NORTE,01 Mascotas,038 Ok Pet,40 Mascotas,6,2020,23.5
255,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,12,2019,626633.5334
256,NORTE,03 Servilletas Masivos,003 Noble,10 Masivos,4,2018,270267.1199
257,SUR,02 Rollos de Cocina,006 Nova,10 Masivos,7,2018,237251.3299
258,NORTE,03 Servilletas Masivos,001 Elite,10 Masivos,6,2020,1703889.4928
259,CENTRO-ORIENTE,03 Servilletas Masivos,006 Nova,10 Masivos,12,2017,197.5
260,SUR,02 Rollos de Cocina,001 Elite,10 Masivos,2,2021,693488.995
261,SUR,02 Rollos de Cocina,001 Elite,10 Masivos,6,2020,1061536.2734
262,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,2,2018,3512791.6814
263,LIMA,03 Servilletas Masivos,001 Elite,10 Masivos,10,2020,3311619.2971
264,SUR,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,4,2021,26583.969
265,SUR,02 Rollos de Cocina,001 Elite,10 Masivos,2,2018,569448.4984
266,LIMA,03 Servilletas Masivos,001 Elite,10 Masivos,2,2019,4864891.2331
267,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,6,2020,6904574.8998
268,LIMA,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,2,2020,2029202.2768
269,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,4,2020,6497.5059
270,NORTE,01 Higiénicos Masivos,001 Elite,10 Masivos,1,2021,22389634.046
271,LIMA,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,10,2018,1514126.2272
272,CENTRO-ORIENTE,01 Higiénicos Masivos,003 Noble,10 Masivos,3,2021,7139296.5777
273,LIMA,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,6,2019,2020394.8398
274,CENTRO-ORIENTE,01 Higiénicos Masivos,003 Noble,10 Masivos,7,2020,5992807.4792
275,CENTRO-ORIENTE,03 Servilletas Masivos,006 Nova,10 Masivos,12,2020,278551.5897
276,LIMA,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,4,2019,15475801.4284
277,CENTRO-ORIENTE,01 Higiénicos Masivos,003 Noble,10 Masivos,11,2019,6067015.0205
278,LIMA,03 Servilletas Masivos,001 Elite,10 Masivos,6,2018,3467907.1235
279,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,2,2021,5952786.1305
280,LIMA,01 Higiénicos Masivos,003 Noble,10 Masivos,1,2019,20681673.743
281,LIMA,01 Mascotas,038 Ok Pet,40 Mascotas,1,2021,6626.2817
282,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,1,2021,869790.8098
283,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,9,2019,1033864.1586
284,SUR,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,9,2019,232585.5299
285,CENTRO-ORIENTE,01 Higiénicos Masivos,003 Noble,10 Masivos,12,2018,5699257.771
286,CENTRO-ORIENTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,12,2018,4489261.8916
287,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,8,2019,29495.3156
288,NORTE,01 Higiénicos Masivos,001 Elite,10 Masivos,6,2019,26504036.6027
289,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,10,2020,946829.0093
290,NORTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,9,2019,402107.7533
291,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,8,2019,25158.876
292,NORTE,03 Servilletas Masivos,003 Noble,10 Masivos,5,2020,205036.6501
